Face,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,
P06066491,P06066492,P06066493,P06066494,pB0886,0.5,2,1.5,Helena and PS,damaged,,,,,,,,
P06066495,P06066496,P06066497,P06066498,pB0863,3,1,3,Helena and PS,,,,,,,,,
P06066499,P06066500,P06066501,P06066502,pB0862,4,1,3,Helena and PS,,,,,,,,,
P06066503,P06066504,P06066505,P06066506,pB0805,3.5,1,3.5,Helena and PS,,,,,,,,,
P06066507,P06066508,P06066509,P06066510,pB0866,4,0.5,3.5,Helena and PS,,,,,,,,,
P06066511,P06066512,P06066513,P06066514,pB0852,4,1,4,Helena and PS,,,,,,,,,
P06066515,P06066516,P06066517,P06066518,pB0861,3,1,3.5,Helena and PS,,,,,,,,,
P06066519,P06066520,P06066521,P06066522,pB0860,4,1,3.5,Helena and PS,,,,,,,,,
P06066523,P06066524,P06066525,P06066526,pB0865,3.5,1,na,Helena and PS,damaged,,,,,,,,
P06066527,P06066528,P06066529,P06066530,pB0948,0.5,3,na,Helena and PS,damaged,,,,,,,,
P06066531,P06066532,P06066533,P06066534,pB0884,0.5,na,1,Helena and PS,damaged,,,,,,,,
P06066535,P06066536,P06066537,P06066538,pB0857,0.5,2.5,2,Helena and PS,,,,,,,,,
P06066539,P06066540,P06066541,P06066542,pB0893,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06066543,P06066544,P06066545,P06066546,pB0859,0.5,2.5,1,Helena and PS,damaged,,,,,,,,
P06066547,P06066548,P06066549,P06066550,pB0880,1,2.5,1.5,Helena and PS,old,,,,,,,,
P06066551,P06066552,P06066553,P06066554,pB0867,0.5,2.5,1,Helena and PS,,,,,,,,,
P06066555,P06066556,P06066557,P06066558,pB0885,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06066559,P06066560,P06066561,P06066562,pB0888,1,2.5,2.5,Helena and PS,,,,,,,,,
P06066563,P06066564,P06066565,P06066566,pB0892,0.5,2.5,3,Helena and PS,,,,,,,,,
P06066567,P06066568,P06066569,P06066570,pB0957,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06066571,P06066572,P06066573,P06066574,pB0898,0.5,3,1,Helena and PS,damaged,,,,,,,,
P06066575,P06066576,P06066577,P06066578,pB0896,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06066579,P06066580,P06066581,P06066582,pB0875,0.5,1,0.5,Helena and PS,,,,,,,,,
P06066583,P06066584,P06066585,P06066586,pB0872,0.5,2.5,1,Helena and PS,damaged,,,,,,,,
P06066587,P06066588,P06066589,P06066590,pB0955,1.5,2.5,1.5,Helena and PS,,,,,,,,,
P06066591,P06066592,P06066593,P06066594,pB0942,0.5,2.5,1,Helena and PS,,,,,,,,,
P06066595,P06066596,P06066597,P06066598,pB0864,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06066599,P06066600,P06066601,P06066602,pB0895,0.5,2.5,1.5,Helena and PS,,,,,,,,,
P06066603,P06066604,P06066605,P06066606,pB0853,0.5,2.5,1,Helena and PS,,,,,,,,,
P06066607,P06066608,P06066609,P06066610,pB0953,2.5,1,na,Helena and PS,,,,,,,,,
P06066611,P06066612,P06066613,P06066614,pB0883,0.5,3,3,Helena and PS,,,,,,,,,
P06066615,P06066616,P06066617,P06066618,pB0941,0.5,2.5,1,Helena and PS,,,,,,,,,
P06066619,P06066620,P06066621,P06066622,pB0876,2,2.5,4,Helena and PS,,,,,,,,,
P06066623,P06066624,P06066625,P06066626,pB0951,0.5,3,1,Helena and PS,,,,,,,,,
P06066627,P06066628,P06066629,P06066630,pB0201,0.5,1,1,"Sean,Helena and PS",,,,,,,,,
P06066631,P06066632,P06066633,P06066634,Z1079,3,1,3.5,"Sean,Helena and PS",,,,,,,,,
P06066635,P06066636,P06066637,P06066638,pB0229,0.5,2,2.5,"Sean,Helena and PS",,,,,,,,,
P06066639,P06066640,P06066641,P06066642,pB0198,2.5,1,2,"Sean,Helena and PS",,,,,,,,,
P06066643,P06066644,P06066645,P06066646,pB0016,2,2.5,3.5,"Sean,Helena and PS",,,,,,,,,
P06066647,P06066648,P06066649,P06066650,pB0146,2,1,2.5,"Sean,Helena and PS",,,,,,,,,
P06066651,P06066652,P06066653,P06066654,pB0240,4,2.5,3.5,"Sean,Helena and PS",,,,,,,,,
P06066655,P06066656,P06066657,P06066658,pA0330,1.5,2,2.5,"Sean,Helena and PS",,,,,,,,,
P06066659,P06066660,P06066661,P06066662,pB0769,3,0.5,3,"Sean,Helena and PS",,,,,,,,,
P06066663,P06066664,P06066665,P06066666,pA0291,3,2.5,3,"Sean,Helena and PS",,,,,,,,,
